CD Code|CD Name|Customer Code|Customer Name|RE Channel|Registration Date|Customer Creation Date|Beat Code|Beat Name|Salesman Code|Salesman Name|Coverage_Day|Customer_Name|Outlet_Index_No|Beat_Name|Beat_Index_No|HO-DSM Type|contact|Zone_|State_|District_|City_|Pop Strata_|Super_Charge_Product|Super_Charge_Product_PDO|Super_Charge_No_of_Product|Tota_Outlet_Count|Tota_Outlet_Count_Slab|Super_Charge_Focus_Product_Vol|Super_Charge_Num_Products_Billed|Super_Charge_Focus_Product_Vol_BTD|Super_Charge_Num_Products_Billed_BTD|Total_Vol_MT
2112214|SANYAM MARKETING|AWL1000179866|Ansari Kirana Store|Low End|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|1. Ansari Kirana Store - AWL1000179866|1|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|2.0|12.0|3.0|21.9
2112214|SANYAM MARKETING|AWL1000179867|Bahubali Provision Store|Low End|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|2. Bahubali Provision Store - AWL1000179867|2|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000179247|DHANIVALA TRADERS|WH|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|3. DHANIVALA TRADERS - AWL1000179247|3|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|34.79
2112214|SANYAM MARKETING|AWL0000787541|FINE EGGS MART|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|4. FINE EGGS MART - AWL0000787541|4|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000540616|Garib Nawaj General store |Low End|44415|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|5. Garib Nawaj General store  - AWL1000540616|5|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL0000787539|GARIB NAWAZ KIRANA|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|6. GARIB NAWAZ KIRANA - AWL0000787539|6|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000248378|GARIBNAWAJ KIRANA STORE |Low End|43664|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|7. GARIBNAWAJ KIRANA STORE  - AWL1000248378|7|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|9.0
2112214|SANYAM MARKETING|AWL0000831449|GAYATRI TRADING COMPANY|Low End|45509|45509|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|8. GAYATRI TRADING COMPANY - AWL0000831449|8|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|4.5
2112214|SANYAM MARKETING|AWL1000179977|Ghaniwala Oil Depot|WH|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|9. Ghaniwala Oil Depot - AWL1000179977|9|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|34.79
2112214|SANYAM MARKETING|AWL1000540617|Gupta Kirana Stores|Low End|44415|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|10. Gupta Kirana Stores - AWL1000540617|10|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000179868|Harish Kirana Store|Low End|43453|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|11. Harish Kirana Store - AWL1000179868|11|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|2.0|12.0|3.0|21.9
2112214|SANYAM MARKETING|AWL0000787538|JAIN KIRANA STORE|Low End|45324|45324|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|12. JAIN KIRANA STORE - AWL0000787538|12|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000580972|KHODIYAR KIRANA STORE (RAMOL GAM)|Low End|44499|44499|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|13. KHODIYAR KIRANA STORE (RAMOL GAM) - AWL1000580972|13|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000526262|KOMAL PROVISION STORS|Low End|44289|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|14. KOMAL PROVISION STORS - AWL1000526262|14|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000596859|KRISHNA PROVISION|Low End|44538|44538|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|15. KRISHNA PROVISION - AWL1000596859|15|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000580980|KRISNA KIRANA STORE (KAMOD)|Low End|44499|44499|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|16. KRISNA KIRANA STORE (KAMOD) - AWL1000580980|16|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000420132|LAXMI TRADING|WH|44092|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|17. LAXMI TRADING - AWL1000420132|17|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000540619|Maa keladevi kirana store|Low End|44415|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|18. Maa keladevi kirana store - AWL1000540619|18|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|||||
2112214|SANYAM MARKETING|AWL1000248376|MAHESH PROVISION STORE |Low End|43664|44463|BEAT813045|Rakhial|SLM21239|Jadav Vipul H-|Sunday|19. MAHESH PROVISION STORE  - AWL1000248376|19|1. Rakhial|1|Retail|9825388378.0|West 2|Gujarat||Ahmedabad|Metro|Rice|12|5|37|31-40|0.0|1.0|12.0|4.0|4.5
